Modalità;Punteggio AI;Consiglio;Titolo;Azienda;Sede;Fonte;Programmazione richiesta;Smart Working;Contratto;Junior Friendly;Anni esperienza richiesti;Punti forza per Diego;Punti deboli per Diego;Riassunto AI;Stipendio Min (jobspy);Stipendio Max (jobspy);RAL Stimata AI;Reputazione Azienda;Adatta Neolaureati;Note Azienda;Ricerca usata;Link;Mandata candidatura?
Torino;7;Valutabile;Business Analyst in ambito Industria (CPG/FMCG);NTT DATA Europe & Latam;Turin, Piedmont, Italy;linkedin;Media;Sì;Dipendente;Sì;0;L'azienda è reputata e offre un ruolo di Business Analyst che può essere in linea con le sue preferenze per logica e analisi.;Il ruolo potrebbe richiedere una conoscenza specifica del settore CPG/FMCG.;NTT DATA Europe & Latam cerca un Business Analyst per il settore Industria (CPG/FMCG).;N/D;N/D;30.000€-40.000€;Ottima;Sì;NTT DATA Europe & Latam è un'azienda di servizi IT di grandi dimensioni con una buona reputazione.;Analista Funzionale Junior;https://www.linkedin.com/jobs/view/4340329531;
Torino;7;Valutabile;Technical Project Engineer;Syscons;Cuneo, Piedmont, Italy;linkedin;Media;Non specificato;Non specificato;Sì;0;Possibilità di lavorare su progetti tecnici;Mancanza di informazioni sul tipo di contratto e smart working;Syscons cerca Technical Project Engineer, ruolo tecnico con possibilità di crescita;N/D;N/D;25.000€-35.000€;Sconosciuta;Sì;Manca la descrizione dell'azienda e del ruolo specifico;Junior IT Analyst;https://www.linkedin.com/jobs/view/4377730459;
Torino;7;Valutabile;Automation Tester;Unikey;Turin, Piedmont, Italy;linkedin;Media;Non specificato;Non specificato;Sì;0;L'offerta di Automation Tester potrebbe valorizzare le sue competenze in QA e automazione.;La mancanza di dettagli sul tipo di contratto e sullo smart working potrebbe essere un deterrente.;L'offerta sembra adatta per Diego, con un ruolo che potrebbe valorizzare le sue competenze in automazione e QA.;N/D;N/D;25.000€-35.000€;Sconosciuta;Sì;Informazioni limitate sull'azienda 'Unikey'.;Junior Test Analyst;https://www.linkedin.com/jobs/view/4375978106;
Torino;7;Valutabile;Junior Validation Engineer – AUTOMOTIVE;ALTEN Italia;Orbassano, Piedmont, Italy;linkedin;Media;Non specificato;Dipendente;Sì;0;Posizione in linea con le sue preferenze per logica e analisi;Potrebbe richiedere programmazione;Junior Validation Engineer in ALTEN Italia, settore automotive;N/D;N/D;25.000€-35.000€;Buona;Sì;ALTEN Italia è una società consolidata nel settore dei servizi di ingegneria;Junior IT Analyst;https://www.linkedin.com/jobs/view/4377911379;
Torino;7;Valutabile;TESTER / AUTOMATION TESTER - Rif.B19TAT;ACTION ICT;Turin, Piedmont, Italy;linkedin;Media;Non specificato;Dipendente;Sì;0;L'offerta si concentra su testing e automazione, aree di interesse per Diego.;Non sono specificate le modalità di smart working.;L'offerta riguarda un ruolo di Tester/Automation Tester presso ACTION ICT, adatto per neolaureati.;N/D;N/D;25.000€-35.000€;Buona;Sì;ACTION ICT sembra essere un'azienda rispettabile nel settore ICT.;Junior Test Analyst;https://www.linkedin.com/jobs/view/4373139442;
Torino;7;Valutabile;Automation Application Specialist;Beckman Coulter Diagnostics;Turin, Piedmont, Italy;linkedin;Media;Sì;Dipendente;Sì;0;L'offerta sembra allineata con le sue preferenze per l'automazione e la logica.;La richiesta di programmazione potrebbe essere un limite sebbene sia indicata come 'junior-friendly'.;L'offerta di Beckman Coulter Diagnostics sembra interessante per Diego, con possibilità di smart working e contratto come dipendente.;N/D;N/D;25.000€-35.000€;Buona;Sì;Beckman Coulter Diagnostics è un'azienda nota nel settore diagnostico.;Junior RPA Developer;https://www.linkedin.com/jobs/view/4358317958;
Torino;7;Valutabile;Junior SPOC Engineer;N&C S.p.A.;Orbassano, Piedmont, Italy;linkedin;Media;Non specificato;Dipendente;Sì;0;Titolo del lavoro in linea con le sue aspirazioni;Mancanza di dettagli sull'offerta;Offerta per Junior SPOC Engineer presso N&C S.p.A., contratto dipendente;N/D;N/D;25.000€-35.000€;Buona;Sì;Azienda solida con possibilità di crescita;Junior RPA Developer;https://www.linkedin.com/jobs/view/4380346717;
Torino;7;Valutabile;Integration Test Engineer – Automotive;TurinTech SpA;Turin, Piedmont, Italy;linkedin;Media;Non specificato;Dipendente;Sì;0;L'offerta sembra allineata con le sue preferenze per QA e automazione.;Potrebbe richiedere una programmazione più intensa di quanto Diego preferisca.;L'offerta è per un Integration Test Engineer in ambito automotive. TurinTech SpA cerca qualcuno per lavorare su test di integrazione.;N/D;N/D;25.000€-35.000€;Sconosciuta;Sì;TurinTech SpA sembra essere un'azienda poco conosciuta.;Junior Test Analyst;https://www.linkedin.com/jobs/view/4377164361;
Torino;7;Valutabile;Test System Engineer - Industry X;Accenture Italia;Turin, Piedmont, Italy;linkedin;Media;Sì;Dipendente;Sì;0;L'offerta sembra allineata con le sue preferenze per logica e analisi;Potrebbe richiedere programmazione più di quanto preferisca;Test System Engineer in Accenture Italia, smart working disponibile;N/D;N/D;30.000€-45.000€;Ottima;Sì;Accenture Italia è una delle maggiori società di consulenza IT;Junior Test Analyst;https://www.linkedin.com/jobs/view/4376905373;
Torino;7;Valutabile;Product Owner / Business Analyst (Mobility Services) Milano-Torino-Bologna;BTO Research;Turin, Piedmont, Italy;linkedin;Media;Sì;Dipendente;Sì;1;Il ruolo di Product Owner/Business Analyst potrebbe valorizzare le sue capacità di analisi e logica;Potrebbe richiedere una conoscenza più approfondita del dominio dei Mobility Services;Ruolo di Product Owner/Business Analyst in BTO Research, con possibilità di smart working;N/D;N/D;35.000€-45.000€;Buona;Sì;BTO Research sembra avere una buona reputazione come datore di lavoro nel settore IT;Analista Funzionale Junior;https://www.linkedin.com/jobs/view/4354791635;
Torino;7;Valutabile;Tesi - Development of Predictive Maintenance algorithms for Aerospace Applications;Leonardo;Torino, PIE, IT;indeed;Media;Non specificato;Stage;Sì;0;Opportunità di lavorare con un'azienda leader nel settore Aerospazio e Difesa;Richiede competenze specifiche in algoritmi di manutenzione predittiva;Tesi di sviluppo algoritmi di manutenzione predittiva per applicazioni aerospaziali;N/D;N/D;18.000€-25.000€;Ottima;Sì;Leonardo è un'azienda rinomata a livello internazionale nel settore Aerospazio e Difesa;Junior IT Support;https://it.indeed.com/viewjob?jk=1962b5ba16371c2e;
Torino;7;Valutabile;Analista Funzionale Junior - Banking Division;Finomnia;Turin, Piedmont, Italy;linkedin;Media;Non specificato;Non specificato;Sì;0;L'offerta sembra essere in linea con le sue preferenze per un ruolo di analisi.;Non sono specificate le tecnologie utilizzate, potrebbe non essere adatta alle sue skill AI.;Offerta per Analista Funzionale Junior in Banking Division, junior-friendly.;N/D;N/D;25.000€-35.000€;Sconosciuta;Sì;Azienda Finomnia, nessun dettaglio ulteriore disponibile.;Analista Funzionale Junior;https://www.linkedin.com/jobs/view/4378111322;
Torino;6;Valutabile;Infotainment Test & Validation Engineer;Amaris Consulting;Turin, Piedmont, Italy;linkedin;Media;Non specificato;Dipendente;Sì;0;Competenze in QA e testing valorizzate;Non specificato se si può lavorare in full-remote;Offerta per un ruolo di Test & Validation Engineer, junior-friendly.;N/D;N/D;25.000€-35.000€;Buona;Sì;Amaris Consulting è una società di consulenza;Junior IT Analyst;https://www.linkedin.com/jobs/view/4355798054;
Torino;6;Valutabile;AI DATA SCIENTIST - INTERNSHIP;Santander Consumer Bank;Torino, PIE, IT;indeed;Media;Non specificato;Stage;Sì;0;Opportunità di lavorare con AI e data science;"Non specificato se ci sarà spazio per ""vibecoding""";Stage come AI Data Scientist in Santander Consumer Bank, opportunità di lavorare con data science;N/D;N/D;15.000€-20.000€;Buona;Sì;Parte del grande gruppo bancario Santander;Stage Informatica Torino;https://it.indeed.com/viewjob?jk=364c2357f4d7c189;
Torino;6;Valutabile;Junior Validation Engineer - AUTOMOTIVE;ALTEN Italia;Orbassano, Piedmont, Italy;linkedin;Media;Non specificato;Dipendente;Sì;0;ALTEN Italia sembra essere una realtà consolidata.;Il titolo dell'offerta non menziona direttamente l'AI o l'automazione.;L'offerta sembra adatta per un neolaureato con competenze in ambito IT.;N/D;N/D;25.000€-35.000€;Buona;Sì;ALTEN Italia è un'azienda nota nel settore IT.;Junior IT Analyst;https://www.linkedin.com/jobs/view/4373476913;
Torino;6;Valutabile;Data Engineer - Appartenente alle Categorie Protette L.68/99;Data Science;Turin, Piedmont, Italy;linkedin;Alta;Non specificato;Dipendente;Sì;0;Esperienza in Data Science potrebbe essere interessante per le sue conoscenze in Cybersecurity;Richiede programmazione intensa, non adatta alle sue preferenze;Data Engineer per categorie protette, azienda Data Science;N/D;N/D;25.000€-35.000€;Buona;Sì;Azienda focalizzata su Data Science;Stage Informatica Torino;https://www.linkedin.com/jobs/view/4380300410;
Full Remote IT;6;Valutabile;Junior Privacy & Legal Consultant;Privacycert Lombardia srl;Bergamo, LOM, IT;indeed;Bassa;Non specificato;Dipendente;Sì;0;Conoscenze di cybersecurity e analisi;Non utilizza le sue abilità di 'vibecoding';Offerta per Junior Privacy & Legal Consultant, ruolo legale con focus su privacy e data protection;N/D;N/D;25.000€-30.000€;Buona;Sì;Società di consulenza per imprese e PA;Junior AI Consultant;https://it.indeed.com/viewjob?jk=87ea18ad47ea78b3;
Full Remote IT;6;Valutabile;Consultant;Roland Berger;Milano, LOM, IT;indeed;Bassa;Non specificato;Dipendente;No;3+;Non richiede programmazione intensiva;Richiede troppa esperienza per un neolaureato;Roland Berger cerca consulenti per progetti di business. Esperienza di 3+ anni richiesta.;N/D;N/D;50.000€-80.000€;Ottima;No;Azienda di consulenza strategica molto nota;Junior AI Consultant;https://it.indeed.com/viewjob?jk=b80258b02d3ba23d;
Full Remote IT;6;Valutabile;MBB Consultant - AI Consulting Simulation & Evaluation;Mindrift;;linkedin;Media;Non specificato;Non specificato;Sì;0;Competenze in AI Consulting e Simulation & Evaluation;Titolo e azienda non molto chiari;Offerta per consulente AI presso Mindrift, mansioni non specificate.;N/D;N/D;25.000€-35.000€;Sconosciuta;Sì;Poco informazioni disponibili su Mindrift;Junior AI Consultant;https://www.linkedin.com/jobs/view/4377030594;
Full Remote IT;6;Valutabile;AI Senior Data Scientist;Bitrock;;linkedin;Alta;Non specificato;Dipendente;No;3+;Competenze in AI e Data Science;Richiede programmazione avanzata;AI Senior Data Scientist, Bitrock. Richiede esperienza e programmazione.;N/D;N/D;60.000€-90.000€;Buona;No;Bitrock è un'azienda innovativa nel settore IT;Junior AI Consultant;https://www.linkedin.com/jobs/view/4374112512;
Torino;6;Valutabile;Global Connected Services Product Manager;CNH;Turin, Piedmont, Italy;linkedin;Media;Non specificato;Dipendente;Sì;1;Il ruolo di Product Manager potrebbe valorizzare le sue capacità di analisi e logica;Potrebbe richiedere una programmazione più intensa di quanto Diego preferisca;Global Connected Services Product Manager, ruolo che richiede capacità di analisi e gestione;N/D;N/D;40.000€-60.000€;Buona;Sì;CNH è un'azienda internazionale con una buona reputazione;Junior Product Manager Gaming;https://www.linkedin.com/jobs/view/4367307536;
Torino;6;Valutabile;Software Engineer - Go - Container Images;Canonical;Turin, Piedmont, Italy;linkedin;Alta;Sì;Dipendente;Sì;0;L'esperienza con tecnologie cloud e container è coerente con le sue conoscenze;Richiede programmazione in Go, che potrebbe non essere la sua preferenza;L'offerta richiede esperienza con Go e container images, coerente con le conoscenze cloud;N/D;N/D;35.000€-45.000€;Ottima;Sì;Canonical è un'azienda leader nel settore open source e cloud;AI Tools Developer Junior;https://www.linkedin.com/jobs/view/4375629722;
Torino;6;Valutabile;"Technicien Support Informatique &amp; Réseau F/H";L'Usine Nouvelle;Chatillon, Valle d'Aosta, Italy;linkedin;Media;Non specificato;Dipendente;Sì;0;Lavoro nel settore IT;Richiede programmazione;Offerta per Technicien Support Informatique & Réseau, contratto dipendente, junior-friendly;N/D;N/D;25.000€-35.000€;Buona;Sì;L'Usine Nouvelle è un'azienda francese con buona reputazione;Junior IT Support;https://www.linkedin.com/jobs/view/4373777356;
Torino;6;Valutabile;Service Desk Specialist;Critical Service;Turin, Piedmont, Italy;linkedin;Bassa;Non specificato;Non specificato;Sì;0;Il ruolo di Service Desk Specialist potrebbe valorizzare le sue capacità di analisi e problem-solving.;L'offerta non specifica le possibilità di smart working, che è una caratteristica importante per Diego.;L'offerta è per un Service Desk Specialist presso Critical Service, con possibilità di essere junior-friendly.;N/D;N/D;25.000€-30.000€;Sconosciuta;Sì;Non ci sono informazioni sufficienti per valutare la reputazione dell'azienda.;Junior Service Desk;https://www.linkedin.com/jobs/view/4377035998;
Torino;6;Valutabile;Ricercatrice/ore per la mobilità sostenibile e innovativa;Fondazione LINKS;Turin, Piedmont, Italy;linkedin;Media;Non specificato;Non specificato;Sì;0;La sua esperienza in cybersecurity e AI automation potrebbe essere rilevante;L'offerta non specifica il tipo di contratto o le tecnologie utilizzate;Offerta per ricercatrice/ore per la mobilità sostenibile e innovativa presso Fondazione LINKS;N/D;N/D;25.000€-35.000€;Buona;Sì;Fondazione LINKS sembra essere un'azienda rispettabile nel settore;Junior Application Support;https://www.linkedin.com/jobs/view/4375064084;
Torino;6;Valutabile;Automotive Software Development Engineer;TurinTech SpA;Turin, Piedmont, Italy;linkedin;Alta;Non specificato;Dipendente;Sì;0;Non specificati requisiti relativi alle sue skill di AI Automation e No-Code;L'offerta richiede programmazione, contrariamente alle sue preferenze;TurinTech SpA cerca Automotive Software Development Engineer. Alta richiesta di programmazione.;N/D;N/D;25.000€-35.000€;Sconosciuta;Sì;Non ci sono informazioni disponibili sull'azienda;Junior Application Support;https://www.linkedin.com/jobs/view/4375483282;
Torino;6;Valutabile;Virtual Prototyping Engineer: Model Requirement and Validation;SEGULA Technologies;Turin, Piedmont, Italy;linkedin;Media;Non specificato;Dipendente;Sì;0;Il titolo del ruolo include validazione, che potrebbe interessare Diego per le sue abilità in QA e analisi.;Il titolo e la descrizione del ruolo suggeriscono una forte componente di ingegneria e modellazione, che potrebbe richiedere più programmazione di quanto Diego preferisca.;Ruolo di ingegneria presso SEGULA Technologies, focalizzato su prototipazione virtuale e validazione dei modelli.;N/D;N/D;25.000€-35.000€;Buona;Sì;SEGULA Technologies sembra essere un'azienda consolidata nel settore ingegneristico.;Junior Application Support;https://www.linkedin.com/jobs/view/4359527328;
Torino;6;Valutabile;Helpdesk Informatico competenze Zucchetti;Openjobmetis SpA;Mondovì, Piedmont, Italy;linkedin;Media;Non specificato;Non specificato;Sì;0;L'offerta potrebbe includere competenze IT e analisi.;Non specificato se in linea con la sua preferenza per logica e sicurezza.;Helpdesk Informatico con competenze Zucchetti, azienda Openjobmetis SpA.;N/D;N/D;25.000€-35.000€;Buona;Sì;Openjobmetis SpA sembra essere un'agenzia di lavoro interinale.;Junior Help Desk;https://www.linkedin.com/jobs/view/4376493324;
Torino;6;Valutabile;E-Commerce Marketplace Specialist;Lavazza Group;Turin, Piedmont, Italy;linkedin;Media;Non specificato;Dipendente;Sì;0;Lavazza Group è un'azienda di grande reputazione;Non specificato il tipo di lavoro in relazione alle preferenze di Diego;Offerta per E-Commerce Marketplace Specialist presso Lavazza Group, junior-friendly.;N/D;N/D;25.000€-35.000€;Ottima;Sì;Lavazza Group è un'azienda consolidata e rispettata nel mercato;Junior Product Manager Gaming;https://www.linkedin.com/jobs/view/4378788690;
Torino;6;Valutabile;TOM Technician (Level 3), EU TOM TIE;Amazon;Alessandria, Piedmont, Italy;linkedin;Media;Sì;Dipendente;Sì;0;Amazon offre opportunità di crescita professionale;Il ruolo richiede competenze tecniche specifiche;Amazon cerca un TOM Technician (Level 3) per il team EU TOM TIE;N/D;N/D;35.000€-45.000€;Ottima;Sì;Azienda leader nel settore tecnologico;Junior IT Support;https://www.linkedin.com/jobs/view/4370931027;
Torino;6;Valutabile;Parts Product Manager;Stellantis;Torino, PIE, IT;indeed;Bassa;Non specificato;Dipendente;Sì;0;esperienza nel settore automotive;non è un ruolo IT;Parts Product Manager in Stellantis, ruolo di gestione prodotto;N/D;N/D;35.000€-45.000€;Buona;Sì;grande azienda del settore automotive;Junior IT Support;https://it.indeed.com/viewjob?jk=0f991e1de69abff7;
Torino;6;Valutabile;Software Engineer - Data Infrastructure - Kafka;Canonical;Turin, Piedmont, Italy;linkedin;Alta;Sì;Dipendente;Sì;0;Esperienza con tecnologie innovative;Richiede programmazione intensiva;Lavoro come Software Engineer su Data Infrastructure con Kafka;N/D;N/D;35.000€-45.000€;Ottima;Sì;Canonical è un'azienda leader nel settore Open Source;AI Tools Developer Junior;https://www.linkedin.com/jobs/view/4378087477;
Torino;6;Valutabile;Product & Partnership Manager;Blox Space;Turin, Piedmont, Italy;linkedin;Media;Non specificato;Non specificato;Sì;Non specificato;Il ruolo di Product & Partnership Manager potrebbe valorizzare le sue capacità di analisi e logica;Potrebbe richiedere competenze non direttamente correlate alle sue abilità di 'vibecoding' e automazione AI;Ruolo di Product & Partnership Manager in Blox Space, richiede capacità di gestione e coordinamento;N/D;N/D;30.000€-45.000€;Sconosciuta;Sì;Poca informazione disponibile su Blox Space;Junior Product Manager Gaming;https://www.linkedin.com/jobs/view/4376720339;
Torino;6;Valutabile;Tecnico Automation packaging;SACMI Packaging & Chocolate S.p.A.;Alba, Piedmont, Italy;linkedin;Media;Non specificato;Non specificato;Sì;1;L'offerta potrebbe valorizzare le sue competenze in automazione.;Manca di dettagli specifici sull'offerta.;Offerta per Tecnico Automation packaging con possibilità di essere junior-friendly.;N/D;N/D;25.000€-35.000€;Buona;Sì;SACMI Packaging & Chocolate S.p.A. sembra essere un'azienda consolidata.;Junior Technical Analyst;https://www.linkedin.com/jobs/view/4374756981;
Torino;6;Valutabile;Product Manager;ToolsGroup;Turin, Piedmont, Italy;linkedin;Media;Non specificato;Non specificato;Sì;Non specificato;Ruolo di Product Manager potrebbe valorizzare le sue capacità di analisi;Mancanza di dettagli sul tipo di contratto e sulla RAL;Product Manager in ToolsGroup, ruolo potenzialmente adatto per Diego;N/D;N/D;Non stimabile;Buona;Sì;ToolsGroup sembra essere un'azienda con una buona reputazione;Junior Product Manager Gaming;https://www.linkedin.com/jobs/view/4376823645;
Torino;6;Valutabile;PRODUCT MANAGER - AUTOMOTIVE;Dubhe;Candiolo, Piedmont, Italy;linkedin;Media;Non specificato;Non specificato;Sì;Non specificato;Il ruolo di Product Manager potrebbe valorizzare le sue capacità di analisi e logica.;Il titolo non menziona direttamente l'automazione o l'AI, che sono i suoi punti di forza.;Dubhe cerca un Product Manager nel settore automotive. Il ruolo potrebbe essere adatto a Diego se valorizza le sue capacità di analisi.;N/D;N/D;35.000€-50.000€;Sconosciuta;Sì;Azienda Dubhe non descritta nel dettaglio.;Junior Product Manager Gaming;https://www.linkedin.com/jobs/view/4375718240;
Torino;6;Valutabile;Payroll Product Manager;Jet HR;Turin, Piedmont, Italy;linkedin;Media;Non specificato;Non specificato;Sì;Non specificato;Il ruolo di Product Manager potrebbe valorizzare le sue capacità di analisi e logica;Potrebbe richiedere una conoscenza più approfondita del dominio delle risorse umane;Ruolo di Payroll Product Manager presso Jet HR. Richiede capacità di gestione prodotto e conoscenza del settore HR;N/D;N/D;30.000€-45.000€;Sconosciuta;Sì;Non ci sono informazioni disponibili sull'azienda;Junior Product Manager Gaming;https://www.linkedin.com/jobs/view/4378170639;
Torino;6;Valutabile;AI DATA SCIENTIST - INTERNSHIP;Santander Italia;Turin, Piedmont, Italy;linkedin;Alta;Non specificato;Stage;Sì;0;Competenze in AI e Data Science;Richiede programmazione intensiva;Internship come AI Data Scientist presso Santander Italia. Richiede competenze in AI e programmazione.;N/D;N/D;18.000€-22.000€;Buona;Sì;Santander Italia è un'azienda consolidata nel settore finanziario;Junior AI Consultant;https://www.linkedin.com/jobs/view/4375550240;
Torino;6;Valutabile;ML Engineer Senior;NTT DATA Europe & Latam;Turin, Piedmont, Italy;linkedin;Alta;Sì;Dipendente;No;3+;Esperienza in ambito ML può essere utile per la sua conoscenza di tool AI;Richiede programmazione intensa, non adatta per chi cerca ruoli con poca programmazione;ML Engineer Senior presso NTT DATA Europe & Latam, richiede esperienza in ML e programmazione;N/D;N/D;60.000€-80.000€;Ottima;No;NTT DATA Europe & Latam è un'azienda consolidata nel settore IT;AI Tools Developer Junior;https://www.linkedin.com/jobs/view/4255724470;
Torino;6;Valutabile;Product Manager;MAW;Fossano, Piedmont, Italy;linkedin;Media;Non specificato;Non specificato;Sì;Non specificato;Non specificati nel dettaglio del lavoro;Non è chiaro se il ruolo è focalizzato su analisi o programmazione;L'offerta sembra interessante per Diego, ma mancano dettagli sul ruolo e sulle responsabilità;N/D;N/D;Non stimabile;Sconosciuta;Sì;Manca qualsiasi informazione sull'azienda MAW;Junior Product Manager Gaming;https://www.linkedin.com/jobs/view/4375954676;
Full Remote IT;6;Valutabile;Senior Functional Analyst (Rif. 2025-367);aizoOn Technology Consulting;;linkedin;Media;Non specificato;Dipendente;No;3+;Non sembra valorizzare le sue skill in AI Automation e No-Code;Il titolo di Senior potrebbe non essere adatto a un neolaureato;L'offerta sembra richiedere esperienza e non è chiaro se sia adatta a Diego;N/D;N/D;40.000€-60.000€;Buona;No;aizoOn Technology Consulting è un'azienda di consulenza tecnologica;Analista Funzionale Junior;https://www.linkedin.com/jobs/view/4337462841;
Full Remote IT;6;Valutabile;Integration Apply - TEST;Kirey;Milan, Lombardy, Italy;linkedin;Media;Non specificato;Non specificato;Sì;0;L'offerta sembra essere per un ruolo di test e integrazione che potrebbe essere adatto alle sue competenze in QA e sicurezza.;L'offerta non specifica il tipo di contratto o le condizioni di smart working.;L'offerta è per un ruolo di Integration Apply - TEST presso Kirey. Il tipo di contratto e le condizioni di lavoro non sono specificate.;N/D;N/D;25.000€-35.000€;Sconosciuta;Sì;Kirey non è un'azienda molto conosciuta.;Junior RPA Developer;https://www.linkedin.com/jobs/view/4378837170;
Full Remote IT;6;Valutabile;QA Engineer;Cosmico;;linkedin;Media;Non specificato;Non specificato;Sì;0|1;Esperienza in QA e testing;Mancanza di informazioni sul tipo di contratto;Offerta per QA Engineer presso Cosmico, RAL non specificata;N/D;N/D;25.000€-35.000€;Sconosciuta;Sì;Informazioni limitate sull'azienda;Junior RPA Developer;https://www.linkedin.com/jobs/view/4379929657;
Full Remote IT;6;Valutabile;SECURITY ENGINEER;SICIS;Milan, Lombardy, Italy;linkedin;Media;Non specificato;Non specificato;Sì;0;Il ruolo di Security Engineer potrebbe valorizzare le sue competenze in cybersecurity;La richiesta di programmazione potrebbe essere un limite se Diego non vuole programmare molto;SICIS cerca un Security Engineer, ruolo che potrebbe essere adatto a Diego per le sue competenze in cybersecurity;N/D;N/D;30.000€-40.000€;Sconosciuta;Sì;SICIS potrebbe essere un'azienda interessante per Diego se valorizza le sue competenze in cybersecurity;Junior Cybersecurity Analyst;https://www.linkedin.com/jobs/view/4375545613;
Full Remote IT;6;Valutabile;Security Operations Engineer;Lorum;;linkedin;Alta;Non specificato;Non specificato;Sì;1;Conoscenze in ambito cybersecurity;Richiede programmazione intensa;Security Operations Engineer, Lorum. Ruolo tecnico con focus sulla sicurezza.;N/D;N/D;30.000€-40.000€;Sconosciuta;Sì;Manca informazione sul tipo di contratto e smart working;Junior Cybersecurity Analyst;https://www.linkedin.com/jobs/view/4374501336;
Full Remote IT;6;Valutabile;Security Governance Risk & Compliance Expert;Accenture Italia;Milan, Lombardy, Italy;linkedin;Media;Sì;Dipendente;Sì;0;L'offerta è in linea con le sue preferenze per logica e sicurezza;Potrebbe richiedere programmazione;Security Governance Risk & Compliance Expert in Accenture Italia, smart working disponibile;N/D;N/D;35.000€-50.000€;Ottima;Sì;Accenture Italia è una delle principali società di consulenza;Junior Cybersecurity Analyst;https://www.linkedin.com/jobs/view/4367021620;
Full Remote IT;6;Valutabile;Senior Cyber Incident Response Analyst(Italy);Integrity360;;linkedin;Media;Sì;Dipendente;No;3+;Esperienza in Cybersecurity è coerente con il suo Master;Richiede esperienza da Senior;Posizione come Senior Cyber Incident Response Analyst presso Integrity360;N/D;N/D;60.000€-80.000€;Buona;No;Integrity360 è un'azienda specializzata in cybersecurity;Junior Cybersecurity Analyst;https://www.linkedin.com/jobs/view/4344467974;
Full Remote IT;6;Valutabile;Professional Services Engineer;Forescout Technologies Inc.;;linkedin;Media;Non specificato;Dipendente;Sì;1;Competenze in cybersecurity sono valorizzate;Programmazione richiesta potrebbe non essere ideale;Offerta interessante per Diego, richiede esperienza e competenze tecniche;N/D;N/D;35.000€-50.000€;Buona;No;Forescout Technologies Inc. è un'azienda di cybersecurity;Junior Cybersecurity Analyst;https://www.linkedin.com/jobs/view/4211903542;
Full Remote IT;6;Valutabile;Information Security Specialist;Asendia Italy;;linkedin;Media;Non specificato;Dipendente;Sì;0;Competenze in Cybersecurity valorizzate;Mancanza di dettagli sull'offerta;Offerta per Information Security Specialist presso Asendia Italy;N/D;N/D;25.000€-35.000€;Sconosciuta;Sì;Azienda estera con sede in Italia;Junior Cybersecurity Analyst;https://www.linkedin.com/jobs/view/4377727575;
Full Remote IT;6;Valutabile;Red Team Specialist;7Layers;Piedmont, Italy;linkedin;Alta;Non specificato;Non specificato;Sì;1;Conoscenza della sicurezza;Richiede programmazione intensa;Red Team Specialist presso 7Layers, richiede esperienza in sicurezza;N/D;N/D;25.000€-35.000€;Buona;Sì;Azienda focalizzata sulla sicurezza;Junior Cybersecurity Analyst;https://www.linkedin.com/jobs/view/4380333521;
Full Remote IT;6;Valutabile;OT Cybersecurity Expert;mashfrog Group;;linkedin;Media;Non specificato;Non specificato;Sì;0;Competenze in Cybersecurity valorizzate;Mancanza di dettagli sull'offerta;Offerta per OT Cybersecurity Expert presso mashfrog Group, junior-friendly;N/D;N/D;25.000€-35.000€;Sconosciuta;Sì;Informazioni limitate sull'azienda;Junior Cybersecurity Analyst;https://www.linkedin.com/jobs/view/4373114789;
Full Remote IT;6;Valutabile;Junior Back Office;Joinrs;;linkedin;Media;Non specificato;Non specificato;Sì;0;Titolo del ruolo in linea con le aspettative;Manca la descrizione dell'offerta;Offerta generica per Junior Back Office;N/D;N/D;Non stimabile;Sconosciuta;Sì;Manca qualsiasi informazione sull'azienda;Junior GRC Analyst;https://www.linkedin.com/jobs/view/4379906153;
Full Remote IT;6;Valutabile;Community Analyst (Remote);North Star Staffing;;linkedin;Media;Sì;Non specificato;Sì;0;L'offerta prevede smart working, adatto a Diego;Manca la specifica sul tipo di contratto;Offerta per Community Analyst, full-remote, azienda North Star Staffing;N/D;N/D;25.000€-35.000€;Sconosciuta;Sì;Manca info sulla reputazione dell'azienda;Junior GRC Analyst;https://www.linkedin.com/jobs/view/4379784085;
Full Remote IT;6;Valutabile;Fact-Checking Analyst;Alignerr;;linkedin;Bassa;Non specificato;Non specificato;Sì;0;Il ruolo di Fact-Checking Analyst potrebbe valorizzare le sue capacità analitiche;L'offerta non specifica chiaramente le condizioni di lavoro e il tipo di contratto;L'offerta è per un Fact-Checking Analyst presso Alignerr, con possibilità di essere adatta a neolaureati;N/D;N/D;Non stimabile;Sconosciuta;Sì;Manca di informazioni dettagliate sul tipo di contratto e sulle condizioni di lavoro;Junior GRC Analyst;https://www.linkedin.com/jobs/view/4378736016;
Full Remote IT;6;Valutabile;Qlik Sense Analyst;Kirey;;linkedin;Media;Non specificato;Non specificato;Sì;0;Titolo del lavoro in linea con le sue competenze di analisi;Mancanza di dettagli sul tipo di contratto e smart working;Offerta per Qlik Sense Analyst presso Kirey, junior-friendly, RAL non specificata;N/D;N/D;25.000€-35.000€;Sconosciuta;Sì;Poca informazione disponibile su Kirey;Junior GRC Analyst;https://www.linkedin.com/jobs/view/4374239995;
